equilibrium | is a structural pattern | PATTERN
stability | is a structural pattern | PATTERN
balance | is a structural pattern | PATTERN
steady | is a structural pattern | PATTERN
decay | is a structural pattern | PATTERN
damping | is a structural pattern | PATTERN
resonance | is a structural pattern | PATTERN
oscillation | is a structural pattern | PATTERN
feedback | is a structural pattern | PATTERN
correction | is a structural pattern | PATTERN
restoration | is a structural pattern | PATTERN
drift | is a structural pattern | PATTERN
relaxation | is a structural pattern | PATTERN
threshold | is a structural pattern | PATTERN
saturation | is a structural pattern | PATTERN
collapse | is a structural pattern | PATTERN
amplitude | is a structural pattern | PATTERN
